date,event_name,location_name,location_address,lat,long
07/10/2024,Beer at Shelter,Shelter Beer,1401 Penn Ave SE,38.87970331795512,-76.98517905946665
07/11/2024,Play: Next/Level,DCJCC,1529 16th St NW,38.91093219849941,-77.03605883339357
07/11/2024,Play:The Perfect Immigrant,Laughter,1150 Connecticut Ave NW,38.905345402565736,-77.04135503169125
07/11/2024,Drinks and Dominos,National Building Museum,401 F St NW,38.897743249851274,-77.01738276563155
07/11/2024,Mother Earth Art,Meridian International Center,1630 Crescent Pl NW,38.92045394225163,-77.03786235576388
07/11/2024,LotR Trivia,Atlas Brew Works Ivy City,2052 WV Ave NE,38.91477730690315,-76.98136795792848
07/11/2024,Good Enough for Government Work,The Pocket,1508 N Capitol St NW,38.90996374408092,-77.0093508120488
07/11/2024,Book Talk: Alex Mell-Taylor,Little District Books,737 8th St SE,38.87995904482378,-76.99522478190914
07/11/2024,Democracy in Retrograde,MLK Jr Memorial Library,901 G St NW,38.89864049071371,-77.02471006881692
07/11/2024,DC Museum of Sidewalk Stuff,Anthony Bowen YMCA,1325 W St NW,38.919323405145256,-77.03119202844255
07/11/2024,DC Book Club,Sudhouse,1340 U St NW,38.91676719994292,-77.03112144329263
07/11/2024,Beer Debut,The Sovereign,1206 Wisconsin Ave NW,38.90549179821324,-77.06348747275642
07/11/2024,Free Beer and Standup,Kelly's Irish Times,14 F St NW,38.89702154346152,-77.00979700132015
07/11/2024,Fort Reno Park Concert,Fort Reno Park,4000 Chesapeake St NW,38.95093464301648,-77.07896253873672
07/12/2024,Race and Justice in Fiction and in Life,Black Workers and Wellness Center,2500 MLK Jr Ave SE,38.86143578998062,-76.99358988789079
07/12/2024,Play: Who Did It?,DCJCC,1529 16th St NW,38.91093219849941,-77.03605883339357
07/12/2024,Janet Jackson,Capital One Arena,601 F St NW,38.89811555269163,-77.02112178400269
07/12/2024,Elemental Arts Festival,Rhizome,6950 Maple St NW,38.974129947640094,-77.01554315400585
07/12/2024,Gilsons,Black Cat,1811 14th St NW,38.914565746601795,-77.03168538585945
07/12/2024,After Hours Karaoke,Lost Generation,327 S St NE,38.91358130632636,-77.0009044162943
07/12/2024,Fridays at the Fountain,Water Park,1601 Crystal Drive Arlington,38.85824687699906,-77.04876956129802
07/12/2024,New Beer at Churchkey,Churchkey,1337 14th St NW,38.908492243908476,-77.03171325868975
07/12/2024,Free Folger Friday,Folger Shakespeare Library,201 E Capitol St SE,38.889262241175544,-77.0028206754811
07/13/2024,Play:The Body Show,DCJCC,1529 16th St NW,38.91093219849941,-77.03605883339357
07/13/2024,DC Producers Fest,Dock 5,1309 5th St NE,38.90857469842962,-76.99755991738834
07/13/2024,Elrow,Echostage,2135 Queens Chapel Rd NE,38.91971142663435,-76.97255346333095
07/13/2024,Comedy Karaoke Trivia,Highline RxR,2010 Crystal Dr Arlington,38.85445637819272,-77.05038657287948
07/13/2024,Laugh Quest 2099,City State Brewing,705 Edgewood St NE,38.9236221595615,-76.9956769844447
07/13/2024,Jazz in the Parks,The Great Lawn,1301 Main Drive NW,38.974522298106216,-77.03078610268958
07/13/2024,gum.mp3,The Pocket,1508 N Capitol St NW,38.90996374408092,-77.0093508120488
07/13/2024,Shadow Riot,Rhizome,6950 Maple St NW,38.974129947640094,-77.01554315400585
07/13/2024,Fantasy Tavern,Penn Social,801 E St NW,38.89621726939814,-77.0233748377391
07/13/2024,Latin Music Fundraiser,Haydee's Restaurant,3102 Mt Pleasant St NW,38.92895752838461,-77.03766011322855
07/13/2024,GAA,Cardinal Stadium,Varnum St NE,38.94320936525704,-77.00081024924071
07/13/2024,Badar Tareen,DCJCC,1529 16th St NW,38.91093219849941,-77.03605883339357
07/13/2024,Hilarity to Fight Homelessness,Astro Beer Hall,1306 G St NW,38.89806374735016,-77.0304559355388
07/13/2024,Sammy Obeid,Howard Theatre,620 T Street NW,38.91525510366189,-77.0210362445851
07/14/2024,Granny & The Boys,Showtime Lounge,113 Rhode Island Ave NW,38.915752257458195,-77.01272544913397
07/14/2024,Poetry for Palestine,Busboys and Poets,450 K St NW,38.90222526609387,-77.0180432654851
07/14/2024,Totally Tubular Fest,The Anthem,901 Wharf St SW,38.880081444172866,-77.02607928846676
07/14/2024,Book Talk: Sarai Johnson,People's Book,7014 Westmoreland Ave Takoma Park,38.97451409737856,-77.01156811599422
07/14/2024,Takoma Death Cafe,Rhizome,6950 Maple St NW,38.974129947640094,-77.01554315400585
07/14/2024,Fanoplane,Rhizome,6950 Maple St NW,38.974129947640094,-77.01554315400585
07/14/2024,Massie,The Pocket,1508 N Capitol St NW,38.90996374408092,-77.0093508120488
07/14/2024,Green Way Readong,People's Book,7014 Westmoreland Ave Takoma Park,38.97451409737856,-77.01156811599422
07/14/2024,July Market,Doubles,3118 Georgia Ave NW,38.929576688904426,-77.023612913846
07/14/2024,Music of Neo-Soul,Songbyrd,540 Penn St NE,38.91014375384035,-76.99653444717399
07/14/2024,Play: Who Did It?,DCJCC,1529 16th St NW,38.91093219849941,-77.03605883339357
07/14/2024,Folger Book Fair,Folger Shakespeare Library,201 E Capitol St SE,38.889262241175544,-77.0028206754811
07/14/2024,Bastille Day Walking Tour,Georgetown,2706 Olive St NW,38.90595138411572,-77.05614888686418
